Folder	Storage	Description
1-dalignerOne	378M	Store results for the first dalinger
2-dalignerTwo	473M	Store results for the second dalinger
3-results	4.6M	Store the links of patched reads and contig files
4-longs	8.5K	Store the log and err information for the shell nohup_run.sh
